ПО/не ПО,Код (Соответствие),Комментарий,Версия продукта (Соответствие)
не ПО,AppleT8103PCIeC,Расширение ядра,
не ПО,AppleT8103PMGR,Расширение ядра,1.0
не ПО,AppleT8103PMGR,Расширение ядра,
не ПО,AppleT8103USB,Расширение ядра,1.0
не ПО,AppleT8103USB,Расширение ядра,
не ПО,AppleT8110,Расширение ядра,1.0
не ПО,AppleT8110,Расширение ядра,
не ПО,AppleT8110AFT,Расширение ядра,1.0
не ПО,AppleT8110AFT,Расширение ядра,
не ПО,AppleT8110DART,Расширение ядра,1.0
не ПО,AppleT8110DART,Расширение ядра,
не ПО,AppleT8110PCIe,Расширение ядра,1.0
не ПО,AppleT8110PCIe,Расширение ядра,
не ПО,AppleT8110PMGR,Расширение ядра,1.0
не ПО,AppleT8110PMGR,Расширение ядра,
не ПО,AppleT8112CLPC,Расширение ядра,1.0
не ПО,AppleT8112CLPC,Расширение ядра,
не ПО,AppleT8112PCIe,Расширение ядра,1.0
не ПО,AppleT8112PCIe,Расширение ядра,
не ПО,AppleT8112PMGR,Расширение ядра,1.0
не ПО,AppleT8112PMGR,Расширение ядра,
не ПО,AppleT8120PMGR,Расширение ядра,1.0
не ПО,AppleT8120PMGR,Расширение ядра,
не ПО,AppleT8301USB,Расширение ядра,1.0
не ПО,AppleT8301USB,Расширение ядра,
не ПО,AppleTCA6408GPIOIC,Расширение ядра,1.0.0
не ПО,AppleTCA6408GPIOIC,Расширение ядра,
не ПО,AppleTCA7408GPIOIC,Расширение ядра,1.0.0
не ПО,AppleTCA7408GPIOIC,Расширение ядра,
не ПО,AppleThunderboltDPAdapters,Расширение ядра,
не ПО,AppleThunderboltEDMService,Расширение ядра,
не ПО,AppleThunderboltIP,Расширение ядра,
не ПО,AppleThunderboltNHI,Расширение ядра,
не ПО,AppleThunderboltPCIAdapters,Расширение ядра,
не ПО,AppleThunderboltUSBAdapters,Расширение ядра,1.0.4
не ПО,AppleThunderboltUSBAdapters,Расширение ядра,
не ПО,AppleThunderboltUTDM,Расширение ядра,
не ПО,AppleTopCase,Расширение ядра,
не ПО,AppleTracingSupportSymbolication,framework,1.0
не ПО,AppleTracingSupportSymbolication,framework,
не ПО,AppleTriStar,Расширение ядра,1.0.0
не ПО,AppleTriStar,Расширение ядра,
не ПО,AppleTrustedAccessory,Расширение ядра,1.0
не ПО,AppleTrustedAccessory,Расширение ядра,
не ПО,AppleTwisterErrorHandler,Расширение ядра,1.0
не ПО,AppleTwisterErrorHandler,Расширение ядра,
не ПО,AppleTypeCPhy,Расширение ядра,1.0
не ПО,AppleTypeCPhy,Расширение ядра,
не ПО,AppleTypeCRetimer,Расширение ядра,1.0.0
не ПО,AppleTypeCRetimer,Расширение ядра,
не ПО,AppleUpstreamUserClient,Расширение ядра,
не ПО,AppleUSBACM,Расширение ядра,
не ПО,AppleUSBAudio,Расширение ядра,
не ПО,AppleUSBCDC,Расширение ядра,
не ПО,AppleUSBCommon,Расширение ядра,
не ПО,AppleUSBDeviceMux,Расширение ядра,1.0.0
не ПО,AppleUSBDeviceMux,Расширение ядра,
не ПО,AppleUSBDeviceNCM,Расширение ядра,5.0.0
не ПО,AppleUSBDeviceNCM,Расширение ядра,
не ПО,AppleUSBDisplays,Расширение ядра,
не ПО,AppleUSBDMM,Расширение ядра,
не ПО,AppleUSBECM,Расширение ядра,
не ПО,AppleUSBEEM,Расширение ядра,
не ПО,AppleUSBEthernet,Расширение ядра,
не ПО,AppleUSBEthernetHost,Расширение ядра,
не ПО,AppleUSBHostS5L8930X,Расширение ядра,1.0
не ПО,AppleUSBHostS5L8930X,Расширение ядра,
не ПО,AppleUSBHostS5L8960X,Расширение ядра,1.0
не ПО,AppleUSBHostS5L8960X,Расширение ядра,
не ПО,AppleUSBHostT7000,Расширение ядра,1.0
не ПО,AppleUSBHostT7000,Расширение ядра,
не ПО,AppleUSBHostT8002,Расширение ядра,1.0
не ПО,AppleUSBHostT8002,Расширение ядра,
не ПО,AppleUSBHostT8011,Расширение ядра,1.0
не ПО,AppleUSBHostT8011,Расширение ядра,
не ПО,AppleUSBHostT8020,Расширение ядра,1.0
не ПО,AppleUSBHostT8020,Расширение ядра,
не ПО,AppleUSBHSIC,Расширение ядра,1.0
не ПО,AppleUSBHSIC,Расширение ядра,
не ПО,AppleUSBiBridge,Расширение ядра,
не ПО,AppleUSBMike,Расширение ядра,1.0.0d1
не ПО,AppleUSBMike,Расширение ядра,
не ПО,AppleUSBNCM,Расширение ядра,
не ПО,AppleUSBNetworking,Расширение ядра,
не ПО,AppleUSBRealtek8153Patcher,Расширение ядра,
не ПО,AppleUSBSerial,Расширение ядра,
не ПО,AppleUSBWCM,Расширение ядра,
не ПО,AppleUserConsent,Расширение ядра,1.0
не ПО,AppleUserConsent,Расширение ядра,
не ПО,AppleUserConsent,framework,
не ПО,AppleVA,framework,
не ПО,AppleVADriver,пакет,
не ПО,AppleVideoDecoder,пакет,1.0
не ПО,AppleVideoDecoder,пакет,
не ПО,AppleVideoEncoder,пакет,1.0
не ПО,AppleVideoEncoder,пакет,
не ПО,AppleVideoToolboxParavirtualization,Расширение ядра,
не ПО,AppleVirtIO,Расширение ядра,
не ПО,AppleVirtIONeuralEngineDevice,Расширение ядра,1.2.0
не ПО,AppleVirtIONeuralEngineDevice,Расширение ядра,1.1.0
не ПО,AppleVirtIONeuralEngineDevice,Расширение ядра,
непонятно,AppleVirtIOSound,,188.40.4
непонятно,AppleVirtIOSound,,188.100.15
непонятно,AppleVirtIOSound,,154.100.1
непонятно,AppleVirtIOSound,,188.120.2
не ПО,AppleVirtIOStorage,Расширение ядра,1.0.0
не ПО,AppleVirtIOStorage,Расширение ядра,
не ПО,AppleVirtualGraphics,Расширение ядра,
не ПО,AppleVirtualPlatform,Расширение ядра,1.0
не ПО,AppleVirtualPlatform,Расширение ядра,
не ПО,AppleVortexErrorHandler,Расширение ядра,1.0
не ПО,AppleVortexErrorHandler,Расширение ядра,
не ПО,AppleVPA,framework,
не ПО,AppleVPBootPolicy,Расширение ядра,1.0
не ПО,AppleVPBootPolicy,Расширение ядра,
не ПО,AppleVPCredentialManager,Расширение ядра,1.0
не ПО,AppleVPCredentialManager,Расширение ядра,
не ПО,AppleVPKeyStore,Расширение ядра,2
не ПО,AppleVPKeyStore,Расширение ядра,
не ПО,AppleXsanScheme,Расширение ядра,
ПО,Application Manager,,1.0
не ПО,ApplicationFirewal|Startup,пакет,
не ПО,ApplicationServices,framework,
не ПО,AppPredictionFoundation,framework,1.0
не ПО,AppPredictionFoundation,framework,
не ПО,AppSandbox,framework,
не ПО,AppServerSupport,framework,
не ПО,AppSSO,framework,
не ПО,AppSSOConfigPlugin_macOS,пакет,
не ПО,AppSSOCore,framework,
не ПО,AppSSOKerberos,framework,
не ПО,AppSSOLocatePlugin_macOS,пакет,
не ПО,AppSSOReplacePlugin_macOS,пакет,1.0
не ПО,AppSSOReplacePlugin_macOS,пакет,
не ПО,AppSSOUI,framework,
не ПО,AppState,framework,1.0
не ПО,AppState,framework,
не ПО,AppStoreComponents,framework,1.0
не ПО,AppStoreComponents,framework,
не ПО,AppStoreDaemon,framework,
не ПО,AppStoreFoundation,framework,
не ПО,AppStoreKit,framework,
не ПО,AppStoreKitInternal,framework,1.0
не ПО,AppStoreKitInternal,framework,
не ПО,AppStoreKitlnternal,framework,
не ПО,AppStoreUI,framework,
непонятно,appstream,,0.12.10-2
не ПО,AppSupport,framework,
не ПО,AppSupportUI,framework,
не ПО,AppTrackingTransparency,framework,1.0
не ПО,AppTrackingTransparency,framework,
непонятно,apt-conf-branch,,10.0-alt1
непонятно,apt-config-icons,,0.12.10-2
непонятно,apt-repo,,1.3.17-alt1
непонятно,aptdaemon,,1.1.1+bzr982-0ubuntu32.3
непонятно,aptdaemon-data,,1.1.1+bzr982-0ubuntu32.3
не ПО,APTransport,framework,
непонятно,apturl,,0.5.2ubuntu19
непонятно,apturl-common,,0.5.2ubuntu19
ПО,Aqua Data Studio,,20.6.0-4
ПО,Aqua Data Studio,,20.0.0
ПО,Aqua Data Studio,,21.1.4
непонятно,Aqua-EAP,,EAP QA-231.8495
непонятно,Arabic - English,,1.0
ПО,Araxis Merge,,2020.5400
ПО,Araxis Merge,,2020.5479
ПО,ARCHICAD,,22.0.0 v1 RUS (3009)
непонятно,ARCHICAD Installer,,21.0.0.3010
ПО,ARCHICAD Online Training,,22.0.0 v1 (3009)
ПО,ARCHICAD Online Training,,22.0.0 v1 RUS (3009)
не ПО,ArcMSR,Расширение ядра,
ПО,Arduino,,1.8.8
не ПО,ArgumentParserInternal,framework,1.0
не ПО,ArgumentParserInternal,framework,
не ПО,ARKit,framework,1.0
не ПО,ARKit,framework,
непонятно,ArthurSiri,,1.3.1
непонятно,ArthurSiri,,1.3.13
непонятно,ArthurSiri,,1.14.4
ПО,Artlantis Render Studio 6.5 & 7 Out,,7.6.0 (22.2650)
не ПО,ASDAccountNotficationPlugin,пакет,
не ПО,ASEProcessing,framework,1.31.0
не ПО,ASEProcessing,framework,1.30.0
не ПО,ASEProcessing,framework,1.29.1
не ПО,ASEProcessing,framework,
не ПО,AskPermission,framework,
не ПО,ASOctaneSupport,framework,1.0
не ПО,ASOctaneSupport,framework,
не ПО,asp_tcp,Расширение ядра,
непонятно,aspnetcore-runtime-3.1,,3.1.15-1
непонятно,aspnetcore-runtime-5.0,,5.0.14-1
не ПО,AssertionServices,framework,
не ПО,AssetCacheServices,framework,
не ПО,AssetCacheServicesExtensions,framework,
не ПО,AssetsLibrary,framework,
не ПО,AssetViewer,framework,1.0
не ПО,AssetViewer,framework,
не ПО,AssistantServices,framework,
не ПО,AssistantUAUPlugin,пакет,
не ПО,AssistiveControlSupport,framework,
ПО,Atlassian Companion,,1.0.0
ПО,Atlassian Companion,,1.3.1
ПО,Atlassian Companion,,1.1.0
ПО,Atlassian Companion,,1.2.5
не ПО,Atlassian Plugin SDK 8.2.7 Installer,инсталляционный файл,8.2.7
не ПО,ATS,framework,
не ПО,ATSUI,framework,
не ПО,AttributeGraph,framework,
не ПО,AUC,Расширение ядра,1.0
не ПО,AUC,Расширение ядра,
ПО,Audacity,,3.0.2.0
ПО,Audacity,,3.3.2.0
не ПО,AudioAnalytics,framework,1.0
не ПО,AudioAnalytics,framework,
не ПО,AudioAUUC,Расширение ядра,
не ПО,AudioDMAController_T600x,Расширение ядра,240.2
не ПО,AudioDMAController_T600x,Расширение ядра,220.1
не ПО,AudioDMAController_T600x,Расширение ядра,160.2
не ПО,AudioDMAController_T600x,Расширение ядра,
не ПО,AudioDMAController_T602x,Расширение ядра,240.2
не ПО,AudioDMAController_T602x,Расширение ядра,220.1
не ПО,AudioDMAController_T602x,Расширение ядра,
не ПО,AudioDMAController_T8103,Расширение ядра,240.2
не ПО,AudioDMAController_T8103,Расширение ядра,220.1
не ПО,AudioDMAController_T8103,Расширение ядра,160.2
не ПО,AudioDMAController_T8103,Расширение ядра,
не ПО,AudioDMAController_T8112,Расширение ядра,240.2
не ПО,AudioDMAController_T8112,Расширение ядра,220.1
не ПО,AudioDMAController_T8112,Расширение ядра,160.2
не ПО,AudioDMAController_T8112,Расширение ядра,
не ПО,AudioDriverKit,framework,
не ПО,AudioDSPManager,framework,
не ПО,AudioFlowDelegatePlugin,пакет,1.0
не ПО,AudioFlowDelegatePlugin,пакет,
не ПО,AudioPasscode,framework,
не ПО,AudioResourceArbitration,framework,
не ПО,AudioServerApplication,framework,
не ПО,AudioServerDriver,framework,
не ПО,AudioServerDriverTransports,framework,1.0
не ПО,AudioServerDriverTransports,framework,
не ПО,AudioSession,framework,
не ПО,AudioSessionServer,framework,1.0
не ПО,AudioSessionServer,framework,
не ПО,AudioSuggestionsPlugin,пакет,1.0
не ПО,AudioSuggestionsPlugin,пакет,
не ПО,AudioToolbox,framework,
не ПО,AudioToolboxCore,framework,
не ПО,AudioTransportCommon,framework,
не ПО,AudioUnit,framework,
не ПО,AudioVideoBridging,framework,
не ПО,AuthKit,framework,
не ПО,AuthKitUI,framework,
не ПО,AuthKitUIMacHelper,framework,
не ПО,AutoBugCaptureCore,framework,
не ПО,autofs,Расширение ядра,
непонятно,autologin-sh-functions,,0.2.9-alt1
не ПО,AutoLoop,framework,
непонятно,Automatic Dimensioning,,22.0.0 v1 RUS (3009)
не ПО,AutomaticAssessmentConfiguration,framework,
не ПО,AutomationMode,framework,1.0
не ПО,AutomationMode,framework,
не ПО,Automator,framework,
не ПО,Automator Application Stub,нативное приложение,1.3
не ПО,Automator Application Stub,нативное приложение,
не ПО,AV1DecoderSW,framework,1.0
не ПО,AV1DecoderSW,framework,
не ПО,AvailabilityKit,framework,1.0
не ПО,AvailabilityKit,framework,
не ПО,AvatarKit,исполняемый файл Unix,1.0
не ПО,AvatarKit,исполняемый файл Unix,
не ПО,AvatarKitContent,framework,1.0
не ПО,AvatarKitContent,framework,
не ПО,AvatarPersistence,framework,1.0
не ПО,AvatarPersistence,framework,
не ПО,AvatarPickerMemojiPicker,исполняемый файл Unix,1.0
не ПО,AvatarPickerMemojiPicker,исполняемый файл Unix,
не ПО,AvatarUI,исполняемый файл Unix,1.0
не ПО,AvatarUI,исполняемый файл Unix,
не ПО,AvatarUI,framework,
не ПО,AVConference,framework,
не ПО,AVDecoderSW,пакет,
не ПО,AVFAudio,framework,
не ПО,AVFCapture,framework,1.0
не ПО,AVFCapture,framework,
не ПО,AVFCore,framework,1.0
не ПО,AVFCore,framework,
не ПО,AVFoundation,framework,
не ПО,AVFoundationCF,framework,
не ПО,AVKit,framework,
не ПО,AVKitCore,framework,1.0
не ПО,AVKitCore,framework,
не ПО,AVKitMacHelper,framework,
не ПО,AVRouting,framework,1.0
не ПО,AVRouting,framework,
не ПО,AXAssetLoader,framework,1.0
не ПО,AXAssetLoader,framework,
не ПО,AXCoreUtilities,framework,
не ПО,AXMediaUtilities,framework,
не ПО,﻿﻿AXMetal13_3,пакет,
не ПО,AXRuntime,framework,
ПО,Azure Data Studio,,1.23.0
ПО,Azure Data Studio,,1.29.0
ПО,Azure Data Studio,,1.40.0
ПО,Azure Data Studio,,1.40.2
не ПО,BackBoardServices,framework,
не ПО,BackgroundAssets,framework,1.0
не ПО,BackgroundAssets,framework,
непонятно,Backgrounds for Zoom,,4.4.4
не ПО,BackgroundSystemTasks,framework,1.0
не ПО,BackgroundSystemTasks,framework,
не ПО,BackgroundTaskManagement,framework,
не ПО,BackgroundTasks,framework,
не ПО,Backup,framework,
ПО,Backup and Sync,,3.57
не ПО,BagKit,framework,1.0
не ПО,BagKit,framework,
непонятно,balenaEtcher,,1.5.112
непонятно,balenaEtcher,,1.5.86
ПО,Balsamiq Mockups 3,,3.5.18
ПО,Balsamiq Wireframes,,4.7.1
непонятно,bamfdaemon,,0.5.3+18.04.20180207.2-0ubuntu2
не ПО,BaseBoard,framework,
не ПО,BaseBoardUI,framework,
непонятно,Basic Rendering Engine,,22.0.0 v1 RUS (3009)
ПО,Bastyon,,0.8.39
не ПО,BatteryUIKit,framework,
ПО,Battle.net,,2.20.1.14132
ПО,Battle.net,,2.22.0.14235
не ПО,BCMWLANFirmware4355_Hashstore,Расширение ядра,
не ПО,BCMWLANFirmware4364_Hashstore,Расширение ядра,
не ПО,BCMWLANFirmware4377_ Hashstore,Расширение ядра,
не ПО,BCMWLANFirmware4378_Hashstore,Расширение ядра,
не ПО,BCMWLANFirmware4387_Hashstore,Расширение ядра,
не ПО,BCMWLANFirmware4388_Hashstore,Расширение ядра,
ПО,Be Focused,,2.1.1
ПО,Bear,,1.9.6
не ПО,BehaviorMiner,framework,
ПО,BetterSnapTool,,1.9.9
ПО,Beyond Compare,,4.2.8.23479
ПО,Beyond Compare,,4.3.7.25118
ПО,Beyond Compare,,4.4.1.26165
ПО,Beyond Compare,,4.4.6.27483
не ПО,BezelServices,framework,
не ПО,BiasEstimatorResourceBundle,пакет,1.0
не ПО,BiasEstimatorResourceBundle,пакет,
ПО,BibDesk,,1.8.8
ПО,BibDesk,,1.8.15
ПО,BIMx,,22.0.0 v1 RUS (3009)
непонятно,BIMxUploader,,22.0.0 v1 RUS (3009)
непонятно,binfmt-support,,2.2.0-2
не ПО,BiomeDSL,framework,1.0
не ПО,BiomeDSL,framework,
не ПО,BiomeFlexibleStorage,framework,1.0
не ПО,BiomeFlexibleStorage,framework,
не ПО,BiomeFoundation,framework,1.0
не ПО,BiomeFoundation,framework,
не ПО,BiomeLibrary,framework,1.0
не ПО,BiomeLibrary,framework,
не ПО,BiomePubSub,framework,1.0
не ПО,BiomePubSub,framework,
не ПО,BiomeSequence,framework,1.0
не ПО,BiomeSequence,framework,
не ПО,BiomeStorage,framework,1.0
не ПО,BiomeStorage,framework,
не ПО,BiomeStreams,framework,1.0
не ПО,BiomeStreams,framework,
не ПО,BiomeSync,framework,1.0
не ПО,BiomeSync,framework,
не ПО,BiometricKit,framework,
не ПО,BiometricKitUI,framework,
не ПО,BiometricSupport,framework,
ПО,Bitwarden,,2022.5.1
ПО,Bitwarden,,2023.5.1
ПО,Bitwarden,,2023.7.0
ПО,Blackmagic RAW Player,,1.8.1
ПО,Blackmagic RAW Speed Test,,1.8.1
не ПО,BlastDoor,framework,
ПО,Blender,,3.0.0
ПО,Blender,,2.91.0
непонятно,Blizzard Error,,2.3.24.0
непонятно,BlockComment,,1.0.0
не ПО,BlockStorageDeviceDriverKit,framework,
ПО,BloomRPC,,1.4.1
ПО,BloomRPC,,1.5.3
ПО,BlueJeans,,2.27.0
ПО,BlueSee,,1.66
ПО,BlueStacks,,4.270.1
ПО,Bluetooth Explorer,,6.0.9
ПО,Bluetooth Inspector,,1.4
не ПО,BluetoothAudio,framework,
не ПО,BluetoothManager,framework,
не ПО,BluetoothServices,framework,1.0
не ПО,BluetoothServices,framework,
не ПО,BluetoothServicesUI,framework,1.0
не ПО,BluetoothServicesUI,framework,
не ПО,BluetoothUIService,нативное приложение,1.0
не ПО,BluetoothUIService,нативное приложение,
не ПО,BluetoothUserAgent-Plugin,модуль,
не ПО,BoardServices,framework,
непонятно,bogofilter,,1.2.4+dfsg1-13
непонятно,bogofilter-bdb,,1.2.4+dfsg1-13
непонятно,bogofilter-common,,1.2.4+dfsg1-13
не ПО,Bom,framework,
не ПО,BonjourEvents,модуль,
не ПО,BookCoverUtility,framework,
не ПО,BookDataStore,framework,1.0
не ПО,BookDataStore,framework,
не ПО,BookFoundation,framework,1.0
не ПО,BookFoundation,framework,
не ПО,BookKit,framework,
не ПО,BookKitFoundation,framework,
не ПО,BookLibrary,framework,1854
не ПО,BookLibrary,framework,1831
не ПО,BookLibrary,framework,1679
не ПО,BookLibrary,framework,
не ПО,BookLibraryCore,framework,3.0
не ПО,BookLibraryCore,framework,
не ПО,BookUtility,framework,
ПО,Boop,,1.4.0
ПО,Boop,,1.3.1
не ПО,Bootability,framework,1.0
не ПО,Bootability,framework,
не ПО,BootabilityBrain,framework,1.0
не ПО,BootabilityBrain,framework,
не ПО,BootCache,Расширение ядра,
ПО,bootloader-utils,,0.5.3-alt2
не ПО,BootPolicy,Расширение ядра,1.0
не ПО,BootPolicy,Расширение ядра,
ПО,BOTIM,,1.5.3
ПО,Brackets,,1.14.2
не ПО,BrailleTranslation,framework,
непонятно,branding-alt-server-alterator,,10.0-alt2
непонятно,branding-alt-server-bootloader,,10.0-alt2
непонятно,branding-alt-server-bootsplash,,10.0-alt2
непонятно,branding-alt-server-indexhtml,,10.0-alt2
непонятно,branding-alt-server-notes,,10.0-alt2
непонятно,branding-alt-server-release,,10.0-alt2
не ПО,BridgeAudioCommunication,Расширение ядра,
не ПО,BridgeAudioController,Расширение ядра,
не ПО,BridgeOSInstall,framework,
не ПО,BridgeOSInstallReporting,framework,
не ПО,BridgeOSObliteration,framework,
не ПО,BridgeOSSoftwareUpdate,framework,
не ПО,BridgeXPC,framework,
не ПО,Brightnesscontrol,framework,
не ПО,BroadcomBluetooth20703USBTransport,Расширение ядра,
не ПО,BroadcomBluetoothHostControllerUSBTransport,Расширение ядра,
не ПО,browser-plugins-npapi,плагин,3.0-alt1
не ПО,BTAudioHALPlugin,плагин,1.0
не ПО,BTCloudPairingAccountNotificationPlugin,пакет,1.0
не ПО,BTCloudPairingAccountNotificationPlugin,пакет,
непонятно,bubblewrap,,0.4.0-1ubuntu4
непонятно,build-essential,,12.8ubuntu1.1
ПО,Bulka,,5.1.0-develop.1
не ПО,BulkSymbolication,framework,
непонятно,bundle,,2.1.4-alt1
ПО,Burp Suite Community Edition,,2022.2.4
ПО,Burp Suite Community Edition,,2022.3.9
ПО,Burp Suite Community Edition,,2022.8.4
не ПО,Business,исполняемый файл Unix,1.0
не ПО,Business,исполняемый файл Unix,
не ПО,BusinessChat,framework,
не ПО,BusinessChatFramework,исполняемый файл Unix,1.0
не ПО,BusinessChatFramework,исполняемый файл Unix,
не ПО,BusinessServices,framework,1.0
не ПО,BusinessServices,framework,
не ПО,BusinessServicesUI,framework,1.0
не ПО,BusinessServicesUI,framework,
не ПО,ByteRangeLocking,framework,
непонятно,bzlib,,1.0.8-alt1
непонятно,bzsenagent,,2.14.1
непонятно,bzsenagent_edr,,2.12.5
не ПО,C2,framework,
непонятно,c4dpy,,25.0
непонятно,ca-trust,,0.1.2-alt1
не ПО,CacheDelete,framework,
непонятно,Caffeine,,1.1.3
непонятно,Cakebrew,,1.3
ПО,CalcMadeEasy,,29
не ПО,Calculate,framework,
не ПО,CalDAV,framework,
не ПО,CalDavPlugin,пакет,1.0
не ПО,CalDavPlugin,пакет,
не ПО,Calendar,пакет,
не ПО,CalendarDaemon,framework,1.0
не ПО,CalendarDaemon,framework,
не ПО,CalendarDatabase,framework,1.0
не ПО,CalendarDatabase,framework,
не ПО,CalendarDraw,framework,
не ПО,CalendarFlowDelegatePlugin,пакет,1.0
не ПО,CalendarFlowDelegatePlugin,пакет,
не ПО,CalendarFoundation,framework,
не ПО,CalendarLink,framework,1.0
не ПО,CalendarLink,framework,
не ПО,CalendarMigration,framework,1.0
не ПО,CalendarMigration,framework,
не ПО,CalendarMigrationUserAccountUpdaterPlugin,пакет,1.0
не ПО,CalendarMigrationUserAccountUpdaterPlugin,пакет,
не ПО,CalendarNotification,framework,
не ПО,CalendarStore,framework,
не ПО,CalendarUI,framework,
не ПО,CalendarUIKit,framework,
не ПО,CalendarUIPlugin,пакет,
не ПО,CalendarWeatherKit,framework,2.0
не ПО,CalendarWeatherKit,framework,
не ПО,CalendarWidget,framework,1.0
не ПО,CalendarWidget,framework,
ПО,calibre,,6.17.0
ПО,calibre,,6.9.0
не ПО,CallHistory,framework,
не ПО,CallKit,framework,
не ПО,CameraColorProcessing,framework,1.0
не ПО,CameraColorProcessing,framework,
не ПО,CameralmagingFramework,framework,
не ПО,CAMRootFlowPlugin,пакет,1.0
не ПО,CAMRootFlowPlugin,пакет,
ПО,Camunda Modeler,,3.7.2
ПО,Camunda Modeler,,4.11.1
ПО,Camunda Modeler,,4.4.0
ПО,Canon MF Scan Utility,,1.10.7
ПО,CapCut,,2.1.0
не ПО,Captive NetworkSupport,пакет,
не ПО,CaptiveNetwork,framework,
не ПО,CaptiveUserAgent,модуль,
ПО,Capture One 20,,13.0.4.10
не ПО,Carbon,framework,
ПО,Carbon Analytics,,1.0.0
не ПО,CarbonAnalytics,пакет,
не ПО,CarbonCore,framework,
не ПО,CardKit,framework,
не ПО,Cards,framework,
не ПО,CardServices,framework,
не ПО,CarKey,framework,1.0
не ПО,CarKey,framework,
не ПО,CarPlay,framework,1.0
не ПО,CarPlay,framework,
ПО,Castle Crumble,,1.1.1
не ПО,Catalyst,framework,
не ПО,CatalystSMS,исполняемый файл Unix,1.0
не ПО,CatalystSMS,исполняемый файл Unix,
непонятно,catatonit,,100:0.1.7-1
не ПО,Categories,framework,
непонятно,caterva-alterator-kit-sh,,2.0-alt2
не ПО,caulk,framework,
не ПО,CBORLibrary,framework,1.0
не ПО,CBORLibrary,framework,
не ПО,CCPortrait,пакет,1.0
не ПО,CCPortrait,пакет,
не ПО,cd9660,Расширение ядра,
не ПО,cddafs,Расширение ядра,
не ПО,CDDataAccess,framework,
не ПО,CDDataAccessExpress,framework,
не ПО,CDPAccountNotificationPlugin_OSX,пакет,
не ПО,CDs & DVDs Settings Extension,расширение программ и систем,99.1
не ПО,CDs & DVDs Settings Extension,расширение программ и систем,
не ПО,CellPhoneHelper,Расширение ядра,
непонятно,cert-sh-functions,,1.0.6-alt1
не ПО,CFAccountPolicy,framework,
не ПО,CFDirectoryServer,framework,
не ПО,CFNetwork,framework,
не ПО,CFOpenDirectory,framework,
непонятно,chameleon-cursor-theme,,0.5-8
не ПО,CharacterPicker,framework,
ПО,Charles,,4.2.8
ПО,Charles,,4.6.2
не ПО,Charts,framework,1.0
не ПО,Charts,framework,
непонятно,ChartSerializationKit,,1.0
непонятно,ChartSerializationUI,,1.0
непонятно,chat,,2.4
не ПО,ChatKit,framework,5.0
не ПО,ChatKit,framework,
не ПО,ChatKitAssistantUI-Assistant,исполняемый файл Unix,1.0
не ПО,ChatKitAssistantUI-Assistant,исполняемый файл Unix,
не ПО,ChatKitFramework,исполняемый файл Unix,1.0
не ПО,ChatKitFramework,исполняемый файл Unix,
непонятно,CHIP,,1.0.11
не ПО,CHIPPIugin,framework,
не ПО,CHIPPlugin,framework,1.0
не ПО,CHIPPlugin,framework,
не ПО,Chirp,framework,1.0
не ПО,Chirp,framework,
ПО,Chrome,,114.0.5735.198
ПО,Chrome,,112.0.5615.137
ПО,Chrome,,98.0.4758.109
ПО,Chrome,,108.0.5359.94
ПО,Chrome,,104.0.5112.79
ПО,Chrome,,98.0.4758.102
ПО,Chrome,,107.0.5304.110
ПО,Chrome,,114.0.5735.133
ПО,Chrome,,109.0.5414.87
ПО,Chrome,,115.0.5790.114
ПО,Chrome,,108.0.5359.124
ПО,Chrome,,109.0.5414.119
ПО,Chrome,,99.0.4844.51
ПО,Chrome,,103.0.5060.114
ПО,Chrome,,106.0.5249.119
ПО,Chrome,,113.0.5672.126
ПО,Chrome,,102.0.5005.115
ПО,Chrome,,106.0.5249.103
ПО,Chrome,,100.0.4896.75
ПО,Chrome,,100.0.4896.88
ПО,Chrome,,101.0.4951.41
ПО,Chrome,,101.0.4951.64
ПО,Chrome,,103.0.5060.134
ПО,Chrome,,104.0.5112.101
ПО,Chrome,,105.0.5195.125
ПО,Chrome,,107.0.5304.121
ПО,Chrome,,110.0.5481.100
ПО,Chrome,,111.0.5563.110
ПО,Chrome,,112.0.5615.121
ПО,Chrome,,112.0.5615.49
ПО,Chrome,,113.0.5672.63
ПО,Chrome,,113.0.5672.92
ПО,Chrome,,114.0.5735.90
ПО,Chrome,,115.0.5790.102
ПО,Chrome,,87.0.4280.67
ПО,Chrome,,91.0.4472.164
ПО,Chrome,,94.0.4606.71
ПО,Chrome,,95.0.4638.69
ПО,Chrome,,99.0.4844.83
не ПО,Chrome Remote Desktop Host Uninstaller,деинсталляционный файл,112.0.5615
не ПО,ChronoKit,framework,1.0
не ПО,ChronoKit,framework,
не ПО,ChronoServices,framework,1.0
не ПО,ChronoServices,framework,
непонятно,ChronoUIServices,,1.0
непонятно,chrooted,,0.3.12-alt1
непонятно,chrooted-resolv,,0.3.1-alt2
не ПО,ChunkingLibrary,framework,
ПО,Cinebench,,23.2
ПО,Cinema 4D,,25.015
ПО,Cinema 4D,,25.0
ПО,CINEMA 4D Rendering Engine,,22.0.0 v1 RUS (3009)
ПО,Cinema 4D Team Render Client,,25.0
ПО,CineRenderNEM,,19.1
ПО,Cineware,,25.0
не ПО,Cisco AnyConnect DART,,4.10.02086
ПО,Cisco AnyConnect Secure Mobility Client,,4.10.02086
ПО,Cisco AnyConnect Secure Mobility Client,,4.10.07061
ПО,Cisco AnyConnect Secure Mobility Client,,4.9.04043
